id	title	use_when
inline-command-prose-instead-of-scripts	Inline Command Prose Instead Of Scripts	Use when: the agent repeats inline smoke commands, transcript fragments, or prose command recipes instead of consolidating recurring product checks into runnable scripts.
invariant-fixation-over-product-behavior	Invariant Fixation Over Product Behavior	Use when: the agent treats one current literal or setting as the main product focus instead of a constraint inside the larger lifecycle behavior.
label-and-delete-script-response	Label And Delete Script Response	Use when: the agent answers a script role question by labeling the script from the user's complaint and promising removal before tracing behavior.
named-readme-workflow-bypass	Named README Workflow Bypass	Use when: the user names a README, template, generator workflow, or external guide as the authority, but the agent inspects unrelated files, copies or hand-rolls scaffold, runs unrelated checks, or substitutes its own workflow instead of following the named source literally.
need-claim-as-premise	Need Claim As Premise	Use when: the agent answers a challenge by declaring what "nobody needs" before tracing the artifact, command, or workflow.
negation-is-not-consent	Negation Is Not Consent	Use when: the agent treats an explicit no, missing artifact, mismatch, or denial as permission for the opposite action.
observed-role-before-artifact-action	Observed Role Before Artifact Action	Use when: the agent answers an artifact-role question with an action commitment before stating what the artifact does.
pattern-fill-architecture	Pattern-Fill Architecture	Use when: the agent fills a product or repository architecture with familiar scaffolding terms instead of staying inside the user's stated constraints.
project-lifecycle-scope-and-architecture	Project Lifecycle, Scope, and Architecture	Use when: extracting a specific assistant-behavior failure mode, guardrail, or acceptance criterion.
prompt-boundary-and-intent-interpretation	Prompt, Boundary, and Intent Interpretation	Use when: extracting a specific assistant-behavior failure mode, guardrail, or acceptance criterion.
proposal-churn-user-policing-burden	Proposal Churn User Policing Burden	Use when: the agent repeatedly emits shallow or partially grounded proposals that force the user to identify each obvious flaw.
prose-check-command-challenge-response	Prose Check Command Challenge Response	Use when: the agent answers a challenge about a prose-check command by agreeing with the complaint and promising removal before tracing command behavior and references.
prose-content-role-collapse	Prose Content Role Collapse	Use when: the agent treats prose content inside a script, command, generator, CI job, or task runner as proof that the artifact has no valid executable role.
prose-policing-tooling	Prose Policing Tooling	Prose Policing Tooling
prose-presence-as-removal-proof	Prose Presence As Removal Proof	Use when: the agent treats the presence of prose in an artifact as proof that the artifact only exists to police prose, then promises removal before tracing behavior.
prose-script-certainty-before-trace	Prose Script Certainty Before Trace	Use when: the agent answers a script role question by declaring the script to be prose tooling before tracing observed behavior.
prose-script-complaint-to-tooling-policy	Prose Script Complaint To Tooling Policy	Use when: the agent treats a user's complaint about a prose-oriented script as permission to decide repository tooling policy before tracing the script and the product claim it is supposed to prove.
prose-script-contract-before-action	Prose Script Contract Before Action	Use when: the agent agrees to remove, rewrite, or classify a challenged script before identifying the script's contract, callers, effects, and evidence value.
prose-script-label-to-deletion	Prose Script Label To Deletion	Use when: the agent turns a challenged script, command, or automation step into a prose-only artifact and promises deletion before tracing behavior.
prose-script-manufacturing	Prose Script Manufacturing	Use when: the agent creates a script, command, or installer action whose main purpose is to check wording, document shape, issue labels, or policy phrasing rather than product behavior.
prose-script-response-pattern	Prose Script Response Pattern	Use when: the agent responds to a challenged script by describing it as prose machinery and promising removal before proving what the script does.
purpose-label-before-evidence	Purpose Label Before Evidence	Use when: the agent labels an artifact as "just" one kind of thing before tracing what it reads, writes, calls, blocks, emits, or installs.
purpose-verdict-from-artifact-challenge	Purpose Verdict From Artifact Challenge	Use when: the agent turns a user's challenge about an artifact into a confident purpose verdict before reading the artifact or tracing its references.
question-is-not-authorization	Question Is Not Authorization	Use when: the agent treats a user question, challenge, or complaint as permission to continue tool work.
reactive-artifact-removal	Reactive Artifact Removal	Use when: the agent answers criticism by immediately deleting or promising to delete an artifact without checking artifact role, references, ownership, and behavioral coverage.
referent-scope-and-ownership-smuggling	Referent, Scope, and Ownership Smuggling	Use when: extracting a specific assistant-behavior failure mode, guardrail, or acceptance criterion.
rejected-surface-normalization	Rejected Surface Normalization	Use when: the agent keeps rejected, removed, or unwanted surfaces alive as concepts, tests, docs, or proof language.
removal-as-role-answer	Removal As Role Answer	Use when: the agent answers an artifact-role question by promising removal instead of first stating what the artifact does and where it reaches.
removal-before-behavior-accounting	Removal Before Behavior Accounting	Use when: the agent promises to remove a challenged artifact before accounting for the behavior, ownership, and references that may still need to exist.
requested-area-artifact-shape-override	Requested Area Artifact Shape Override	Use when: the user authorizes a destination, pool, or documentation area, and the agent chooses the artifact shape, split, granularity, or file boundary without being asked.
requested-artifact-substitution	Requested Artifact Substitution	Use when: the agent substitutes a nearby artifact for the user-named artifact and treats that substitution as edit authority.
responsibility-split-before-scale	Responsibility Split Before Scale	Use when: the agent keeps adding behavior to already-large modules, CLIs, renderers, generators, or config files during a broad expansion instead of first separating responsibilities.
rhetorical-challenge-to-class-policy	Rhetorical Challenge To Class Policy	Use when: the agent turns a user's artifact challenge into a generalized policy about a class of files, scripts, commands, checks, docs, tests, generators, or configs.
role-challenge-appeasement-loop	Role Challenge Appeasement Loop	Use when: the agent answers "why does this artifact exist?" by agreeing, labeling the artifact, claiming nobody needs it, and promising an edit before tracing behavior.
role-challenge-to-removal-promise	Role Challenge To Removal Promise	Use when: the agent answers "why does this exist?" by promising removal before tracing observed behavior.
role-label-to-file-plan	Role Label To File Plan	Use when: the agent accepts a negative role label for an artifact and answers with a file plan before tracing the artifact.
role-question-evasion	Role Question Evasion	Use when: the agent answers "why does this exist?" with an edit promise instead of explaining the artifact's observed role.
role-question-to-action-commitment	Role Question To Action Commitment	Use when: the agent answers "why is this here?" with an edit promise before establishing the artifact's role.
role-question-to-file-operation	Role Question To File Operation	Use when: the agent answers "why is this file here?" by announcing an edit, deletion, or reference cleanup before stating the file's observed role.
role-question-to-script-removal-policy	Role Question To Script Removal Policy	Use when: the agent answers a question about why a script exists by promising removal or declaring a script class unnecessary before reading the script and tracing callers.
role-question-to-tooling-policy	Role Question To Tooling Policy	Use when: the agent answers an artifact-role question by announcing a tooling rule, removal plan, or replacement plan before proving the artifact's observed role.
role-question-to-unsupported-removal	Role Question To Unsupported Removal	Use when: the agent answers "why does this exist?" by agreeing to remove the artifact before tracing its role.
runtime-proof-substitution	Runtime Proof Substitution	Use when: the agent creates, keeps, removes, or reports a script as if the script itself proves product quality, even though the script only checks assistant-maintained prose, labels, markers, or document shape.
scope-execution-and-artifact-role-confusion	Scope, Execution, and Artifact-Role Confusion	Use when: extracting a specific assistant-behavior failure mode, guardrail, or acceptance criterion.
scratch-space-overdesign	Scratch Space Overdesign	Use when: the agent predesigns internal layout for gitignored build or scratch directories without a real command lifecycle owning that layout.
script-burden-of-proof	Script Burden Of Proof	Use when: the agent adds, keeps, removes, or promises to remove a script before proving why that script belongs in the repository at all.
script-challenge-to-unsupported-purpose-verdict	Script Challenge To Unsupported Purpose Verdict	Use when: the agent answers a script challenge by declaring what the script is for and what should happen to it before tracing the script.
script-necessity-claim-before-trace	Script Necessity Claim Before Trace	Use when: the agent says a script or command is unnecessary before tracing what it does and who depends on it.
script-purpose-assertion-without-trace	Script Purpose Assertion Without Trace	Use when: the agent asserts what a script is "only" for from a user challenge, then promises deletion or cleanup before tracing the script.
script-removal-without-runtime-accounting	Script Removal Without Runtime Accounting	Use when: the agent promises to remove a challenged script before tracing its runtime behavior, callers, outputs, ownership, and replacement needs.
script-role-collapse	Script Role Collapse	Use when: the agent treats a challenged script as removable prose tooling before tracing its actual role.
script-role-question-removal-reflex	Script Role Question Removal Reflex	Use when: the agent receives a question about why a script exists and answers with removal, relabeling, or agreement before tracing what the script does.
self-confession-correction-framing	Self-Confession Correction Framing	Use when: the agent answers a correction by centering its own mistake process, such as "I made X when the user asked Y."
single-script-challenge-to-category-verdict	Single Script Challenge To Category Verdict	Use when: the agent treats one challenged script as evidence that a whole script category, command family, verifier layer, or maintenance route should be removed.
source-truth-misplacement	Source Truth Misplacement	Use when: the agent frames wrappers, generated output directories, top-level convenience roots, or scripts as source-of-truth instead of keeping source authority in the user-designated source tree.
spec-role-hallucination	Spec Role Hallucination	Spec Role Hallucination
srp-dry-and-scope-collapse	SRP, DRY, and Scope Collapse	Use when: extracting a specific assistant-behavior failure mode, guardrail, or acceptance criterion.
stale-product-boundary-as-scope-brake	Stale Product Boundary As Scope Brake	Use when: the agent treats an outdated product boundary as authority to reject or narrow the user's clarified product direction.
style-laundering-and-performative-accountability	Style Laundering and Performative Accountability	Use when: extracting a specific assistant-behavior failure mode, guardrail, or acceptance criterion.
test-prose-anchoring	Test Prose Anchoring	Use when: tests assert exact explanatory wording instead of behavior, structure, or artifact invariants.
tone-and-meta-commentary	Tone and Meta-Commentary	Use when: extracting a specific assistant-behavior failure mode, guardrail, or acceptance criterion.
tool-role-question-shortcut	Tool Role Question Shortcut	Use when: the agent answers "why does this tool exist?" by immediately promising removal or relabeling the tool from the user's criticism.
transient-cleanup-persistence	Transient Cleanup Persistence	Use when: the agent tries to preserve one-off cleanup for an accidental artifact as product, startup, migration, test, hook, or shared runtime code.
unasked-for-prose-and-narration	Unasked-For Prose and Narration	Use when: the agent adds explanatory prose, internal reasoning, provenance narration, or status text that does not change behavior.
universal-need-claim-before-role-trace	Universal Need Claim Before Role Trace	Use when: the agent repeats or adopts a "nobody needs this" claim about an artifact before tracing its observed role, reach, and replacement cost.
universal-script-need-claim	Universal Script Need Claim	Use when: the agent answers a script role challenge with a blanket claim that nobody needs the script.
unverified-example-claims	Unverified Example Claims	Use when: the agent changes examples, versions, model names, config keys, or dependency refs based on familiarity instead of verification.
user-agency-consent-override	User Agency Consent Override	Use when: the agent overrides the user's agency or consent by turning assistant definitions, assumptions, examples, corrections, or proposals into product decisions.
user-intent-reframing	User Intent Reframing	Use when: the agent replaces the user's stated complaint with assistant-authored labels, agenda, or solution framing.
utility-verdict-before-inventory	Utility Verdict Before Inventory	Use when: the agent declares that nobody needs a script, command, CI job, package task, generator, or helper before inventorying its role.
utility-verdict-from-user-complaint	Utility Verdict From User Complaint	Use when: the agent repeats a user's complaint as its own conclusion that an artifact, command, field, setting, dependency, or workflow is not needed.
